日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,4,8,58.8,10,5,高杉吏麒,58,芝2200,,重,-15,2:13.5,1.4,90,,,,,18-18-17-16,35.4-35.6,35.2,504(+2),,,メイショウタバル,"3,000.0",2021106548
2026/05/03,3京都4,小雨,11,天皇賞(春)(GI),,15,6,11,28.2,5,6,レーン,58,芝3200,,良,**,3:14.5,0.8,**,**,**,**,**,13-13-13-12,36.0-35.4,35.2,502(+2),,,クロワデュノール,,2021106548
2026/04/05,2阪神4,晴,11,大阪杯(GI),,15,8,14,113.2,13,4,古川吉洋,58,芝2000,,良,**,1:57.9,0.3,**,**,**,**,**,13-13-12-7,34.9-35.5,34.8,500(+2),,,クロワデュノール,"4,500.0",2021106548
2026/02/22,1小倉10,晴,11,小倉大賞典(GIII),,16,8,16,7.4,4,1,古川吉洋,55,芝1800,,良,**,1:45.2,-0.1,**,**,**,**,**,14-14-11-7,35.4-35.1,34.1,498(-6),,,(ケイアイセナ),"4,356.0",2021106548
2026/01/04,1京都1,曇,10,寿S(3勝クラス),,9,2,2,3.1,2,1,古川吉洋,58,芝2000,,良,**,2:01.1,0.0,**,**,**,**,**,6-5-4-3,36.9-34.0,33.6,504(+2),,,(ウイントレメンデス),"1,889.6",2021106548
2025/12/14,5阪神4,晴,9,オリオンS(3勝クラス),,15,4,6,5.4,3,3,古川吉洋,58,芝2200,,良,**,2:11.9,0.3,**,**,**,**,**,8-8-7-5,34.8-35.2,35.1,502(+14),,,エコロディノス,464.5,2021106548
2025/10/25,4新潟3,曇,11,魚沼S(3勝クラス),,18,7,13,5.1,1,3,古川吉洋,58,芝2000,,良,**,1:58.5,0.3,**,**,**,**,**,13-12,36.1-33.4,32.9,488(-4),,,シンハナーダ,465.6,2021106548
2025/09/13,4阪神3,曇,11,チャレンジC(GIII),,15,8,14,17.3,9,8,古川吉洋,54,芝2000,,良,**,1:58.5,0.5,**,**,**,**,**,6-6-6-4,36.0-35.7,35.3,492(-8),,,オールナット,,2021106548
2025/07/26,3中京1,晴,7,関ケ原S(3勝クラス),,10,3,3,3.8,3,3,高杉吏麒,58,芝2000,,良,**,1:59.5,0.3,**,**,**,**,**,7-7-7-7,37.4-33.9,33.1,500(-2),,,グランヴィノス,463.1,2021106548
2025/06/21,3阪神5,晴,10,ストークS(3勝クラス),,12,3,3,4.4,2,4,高杉吏麒,57,芝2200,,良,**,2:12.2,0.2,**,**,**,**,**,5-4-4-4,35.3-35.4,35.3,502(-2),,,ヴェルテンベルク,280.0,2021106548
2025/05/11,2京都6,曇,9,烏丸S(3勝クラス),,14,3,4,8.7,4,4,高杉吏麒,57,芝2400,,良,**,2:24.7,0.4,**,**,**,**,**,6-6-8-9,34.0-35.1,34.7,504(+8),,,サンライズソレイユ,280.0,2021106548
2025/03/30,2阪神2,曇,10,御堂筋S(3勝クラス),,12,2,2,6.5,4,3,高杉吏麒,57,芝2400,,良,**,2:25.3,0.2,**,**,**,**,**,2-2-2-1,37.2-35.9,36.1,496(0),,,ミステリーウェイ,463.7,2021106548
2025/03/02,1阪神2,小雨,9,淡路特別(2勝クラス),,9,1,1,3.4,2,1,古川吉洋,57,芝2200,,良,**,2:11.8,-0.2,**,**,**,**,**,6-6-4-1,33.7-35.4,35.2,496(+8),,,(クルミナーレ),"1,572.4",2021106548
2025/01/26,1中京9,晴,9,茶臼山高原特別(2勝クラス),,9,5,5,3.6,3,2,古川吉洋,56,芝2000,,良,**,2:01.4,0.1,**,**,**,**,**,3-3-4-5,37.4-35.0,34.7,488(-2),,,ランスオブクイーン,626.0,2021106548
2024/12/14,4中京5,晴,8,ヤングJSFR中京1(1勝クラス),,16,8,15,2.7,1,1,室陽一朗,57,芝2000,,良,**,2:01.2,-0.1,**,**,**,**,**,2-2-1-2,37.8-35.2,35.2,490(+18),,,(シルキーガール),"1,150.6",2021106548
2024/09/16,4中山5,曇,11,朝日セントライト記念(GII),,14,2,2,84.5,10,9,丹内祐次,57,芝2200,,良,**,2:13.2,1.6,**,**,**,**,**,3-4-3-3,36.2-34.6,35.8,472(-16),,,アーバンシック,,2021106548
2024/08/24,2中京5,晴,9,揖斐川特別(1勝クラス),,12,1,1,5.5,4,3,幸英明,55,芝2200,,良,**,2:13.3,0.3,**,**,**,**,**,1-1-1-1,34.5-34.7,35.0,488(-2),,,ヤマニンステラータ,284.7,2021106548
2024/08/11,2中京2,晴,7,3歳以上1勝クラス,,8,4,4,,,取,幸英明,55,芝2000,,良,**,,,**,,,,,,35.4-35.4,,計不,,,ブロッケンボウ,,2021106548
2024/06/01,4京都1,晴,7,3歳以上1勝クラス,,9,5,5,3.3,2,4,古川吉洋,54,芝2200,,良,**,2:13.3,0.6,**,**,**,**,**,4-4-4-3,36.7-33.9,34.2,490(+10),,,オールセインツ,120.0,2021106548
2024/05/04,3京都5,晴,11,京都新聞杯(GII),,15,7,13,178.0,14,7,古川吉洋,57,芝2200,,良,**,2:12.1,0.9,**,**,**,**,**,15-15-15-12,35.7-33.8,34.0,480(-2),,,ジューンテイク,,2021106548
