日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,2,4,3.2,2,9,松山弘平,57,ダ1400,,良,-11,1:27.5,2.1,54,,,,,4-5,35.1-37.4,39.1,472(0),,,モズジェネラル,,2023107359
2026/05/16,3京都7,晴,5,3歳未勝利,,14,2,2,2.1,1,3,松山弘平,57,芝1800,,良,**,1:46.0,0.8,**,**,**,**,**,5-5,34.2-34.7,34.8,472(-2),,,ロサルゴサ,150.0,2023107359
2026/04/18,2阪神7,晴,4,3歳未勝利,,18,2,3,4.4,2,3,松山弘平,57,芝1800,,良,**,1:46.0,0.2,**,**,**,**,**,3-4,35.2-34.3,34.2,474(-10),,,ダノンテムズ,150.0,2023107359
2026/01/31,1東京1,晴,5,3歳新馬,,16,4,7,3.8,2,2,松山弘平,57,芝1800,,良,**,1:48.6,0.4,**,**,**,**,**,3-3-3,36.9-33.6,33.7,484(0),,,リッツパーティー,260.0,2023107359
