日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,8,18,229.4,16,16,松本大輝,58,芝2200,,重,-15,2:15.2,3.1,76,,,,,11-10-8-11,35.4-35.6,37.6,498(-8),,,メイショウタバル,,2018104638
2026/05/03,3京都4,小雨,11,天皇賞(春)(GI),,15,7,13,64.7,8,8,松本大輝,58,芝3200,,良,**,3:14.8,1.1,**,**,**,**,**,1-1-1-2,36.0-35.4,36.5,506(+6),,,クロワデュノール,,2018104638
2026/03/28,3中山1,晴,11,日経賞(GII),,15,6,11,24.5,7,14,松本大輝,58,芝2500,,良,**,2:33.1,2.4,**,**,**,**,**,2-3-13-13,29.4-36.0,37.4,500(0),,,マイユニバース,,2018104638
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,6,11,53.5,10,16,松本大輝,58,芝2500,,良,**,2:32.8,1.3,**,**,**,**,**,1-1-2-4,29.7-35.6,36.8,500(0),,,ミュージアムマイル,,2018104638
2025/11/09,5東京2,曇,11,アルゼンチン共和国杯(GII),,18,7,13,27.7,9,1,松本大輝,56,芝2500,,良,**,2:30.2,-0.1,**,**,**,**,**,1-1-1-1,30.6-34.6,34.6,500(-2),,,(スティンガーグラス),"5,827.4",2018104638
2025/09/07,2札幌6,晴,11,丹頂S(OP),,12,6,7,16.7,9,1,松本大輝,55,芝2600,,稍,**,2:44.8,-0.3,**,**,**,**,**,1-1-1-1,38.1-36.4,36.4,502(0),,,(ゴールデンスナップ),"2,426.6",2018104638
2025/07/27,1札幌2,曇,11,札幌日経賞(L),,10,8,10,6.2,4,4,池添謙一,57,芝2600,,稍,**,2:42.2,0.5,**,**,**,**,**,1-1-1-2,38.2-35.6,36.1,502(-2),,,スティンガーグラス,420.0,2018104638
2025/03/30,2阪神2,曇,10,御堂筋S(3勝クラス),,12,3,3,17.2,5,1,団野大成,58,芝2400,,良,**,2:25.1,-0.2,**,**,**,**,**,1-1-1-2,37.2-35.9,35.9,504(0),,,(ラスカンブレス),"1,865.9",2018104638
2025/03/01,1阪神1,晴,10,阪神リニューアル記念(3勝クラス),,10,4,4,13.7,5,2,団野大成,55,芝3000,,良,**,3:03.8,0.9,**,**,**,**,**,3-3-5-7,35.7-35.7,35.9,504(-4),,,ハヤテノフクノスケ,746.4,2018104638
2025/02/02,1京都2,曇,10,八坂S(3勝クラス),,7,2,2,14.9,4,3,団野大成,58,芝2200,,稍,**,2:16.1,0.3,**,**,**,**,**,1-1-1-1,37.2-34.5,34.8,508(+8),,,リビアングラス,462.2,2018104638
2024/09/07,3中京1,晴,10,ムーンライトH(3勝クラス),,16,6,11,46.6,11,4,浜中俊,55,芝2200,,良,**,2:11.4,0.3,**,**,**,**,**,3-3-3-3,34.2-35.0,34.8,500(0),,,ケイアイサンデラ,280.0,2018104638
2024/06/15,4京都5,曇,10,保津峡S(3勝クラス),,15,7,12,92.6,12,6,藤懸貴志,58,芝2200,,良,**,2:11.6,0.8,**,**,**,**,**,1-1-1-2,35.4-34.3,35.1,500(-2),,,ブラックブロッサム,,2018104638
2024/03/24,2阪神2,雨,10,御堂筋S(3勝クラス),,8,8,8,19.0,6,5,角田大河,58,芝2400,,重,**,2:29.5,0.7,**,**,**,**,**,1-1-1-1,37.5-34.7,35.4,502(0),,,スマートファントム,184.0,2018104638
2024/02/25,1阪神2,小雨,9,松籟S(3勝クラス),,12,6,8,12.6,5,10,池添謙一,55,芝3000,,重,**,3:10.0,2.7,**,**,**,**,**,2-2-2-5,37.7-37.3,39.9,502(0),,,ゴールドプリンセス,,2018104638
2023/11/18,3京都5,晴,10,比叡S(3勝クラス),,14,1,1,24.4,9,8,池添謙一,58,芝2400,,稍,**,2:28.5,0.8,**,,,,,1-1-1-1,35.5-34.0,34.8,502(+2),,,ディナースタ,,2018104638
2023/10/29,2京都9,晴,10,古都S(3勝クラス),,17,2,4,8.7,5,15,池添謙一,56,芝3000,,良,**,3:05.4,1.7,**,,,,,3-3-3-9,37.3-35.8,37.1,500(+10),,,ワープスピード,,2018104638
2023/08/19,2札幌3,曇,11,札幌日刊スポーツ杯(2勝クラス),,14,4,5,5.5,3,1,池添謙一,57,芝2600,,良,**,2:46.0,-0.1,**,,,,,1-1-1-1,41.1-34.9,34.9,490(-4),,,(ゴールデンスナップ),"1,580.8",2018104638
2023/07/30,1札幌4,曇,9,阿寒湖特別(2勝クラス),,14,5,7,11.6,4,3,吉田隼人,58,芝2600,,良,**,2:39.8,0.4,**,,,,,1-1-1-1,36.4-35.3,35.7,494(+4),,,ナイトインロンドン,394.4,2018104638
2023/04/16,1福島4,晴,10,奥の細道特別(2勝クラス),,13,6,8,4.1,1,6,富田暁,58,芝2600,,稍,**,2:44.9,0.5,**,,,,,2-2-2-2,39.0-38.2,38.5,490(-6),,,ウインエアフォルク,,2018104638
2023/02/11,1東京5,晴,9,箱根特別(2勝クラス),,13,8,13,14.7,6,3,吉田隼人,58,芝2400,,稍,**,2:26.8,0.5,**,,,,,3-3-2-2,37.6-33.7,34.1,496(+2),,,バラジ,393.9,2018104638
