日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,2,3,77.5,8,6,幸英明,55,ダ1400,,良,-11,1:26.7,1.3,63,,,,,2-2,35.1-37.4,38.6,460(0),,,モズジェネラル,,2023104226
2026/04/12,2阪神6,晴,1,3歳未勝利,,16,6,12,104.4,11,7,柴田裕一,53,ダ1400,,稍,**,1:26.2,1.0,**,**,**,**,**,10-7,35.6-37.6,37.7,460(0),,,ステライヴ,,2023104226
2026/03/29,2阪神2,晴,3,3歳未勝利,,16,8,15,137.9,14,4,柴田裕一,53,ダ1400,,良,**,1:26.9,0.8,**,**,**,**,**,2-3,35.2-38.5,39.0,460(-8),,,シャープインサイト,89.0,2023104226
2026/03/14,1中京1,晴,1,3歳未勝利,,10,8,9,51.1,7,7,古川奈穂,53,ダ1800,,良,**,1:58.1,3.1,**,**,**,**,**,4-3-5-4,37.7-38.7,41.3,468(0),,,ヴェールミューズ,,2023104226
2025/12/06,5阪神1,晴,1,2歳未勝利,,16,8,16,146.9,14,10,国分優作,55,ダ1200,,良,**,1:14.5,1.6,**,**,**,**,**,13-12,35.1-37.8,38.4,468(+2),,,ベラジオリン,,2023104226
2025/11/15,4京都3,晴,6,2歳新馬,,16,3,6,171.0,15,6,国分優作,55,ダ1200,,良,**,1:13.8,1.5,**,**,**,**,**,8-7,35.8-36.5,37.5,466(0),,,プリンセスモコ,,2023104226
