日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,2,3,250.2,17,17,吉村誠之,58,芝2200,,重,-15,2:15.3,3.2,76,,,,,3-3-5-7,35.4-35.6,38.0,522(+4),,,メイショウタバル,,2021102224
2026/05/16,1新潟5,晴,11,新潟大賞典(GIII),,15,8,15,7.0,2,15,武豊,58,芝2000,,良,**,2:00.1,1.2,**,**,**,**,**,2-2,35.9-34.0,35.2,518(+14),,,グランディア,,2021102224
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,6,11,22.0,8,7,武豊,57,芝2400,,良,**,2:25.2,0.9,**,**,**,**,**,2-2-2-1,36.3-33.8,34.7,504(+2),,,ダノンデサイル,,2021102224
2024/04/27,2東京3,曇,11,テレビ東京杯青葉賞(GII),,17,4,7,4.5,2,1,武豊,57,芝2400,,良,**,2:24.2,0.0,**,**,**,**,**,4-5-5-6,35.6-36.2,33.9,502(+4),,,(ショウナンラプンタ),"5,521.8",2021102224
2024/03/24,1中京6,小雨,9,大寒桜賞(1勝クラス),,10,8,10,3.4,1,1,武豊,57,芝2200,,重,**,2:17.4,-0.3,**,**,**,**,**,1-1-1-1,35.8-35.6,35.6,498(-6),,,(オールナット),"1,092.4",2021102224
2024/02/24,1阪神1,晴,5,3歳未勝利,,13,6,9,1.9,1,1,武豊,57,芝2000,,稍,**,2:02.8,-0.2,**,**,**,**,**,5-5-4-2,36.0-34.7,34.5,504(-2),,,(サラトガチップス),550.0,2021102224
2024/02/04,2京都4,曇,5,3歳新馬,,17,7,14,2.9,1,2,武豊,57,芝1600,,良,**,1:37.0,0.1,**,**,**,**,**,6-5,35.9-35.0,34.7,506(0),,,ワールズエンド,250.0,2021102224
