日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,5,9,106.6,12,7,国分優作,57,ダ1400,,良,-11,1:27.1,1.7,58,,,,,11-10,35.1-37.4,38.0,502(+12),,,モズジェネラル,,2023106979
2026/04/18,1福島3,晴,4,3歳未勝利,,15,4,7,16.2,7,11,小沢大仁,57,ダ1700,,良,**,1:49.9,2.6,**,**,**,**,**,12-14-14-12,30.6-37.3,38.6,490(-10),,,アンティーム,,2023106979
2026/03/01,1阪神4,晴,2,3歳未勝利,,16,7,14,9.5,4,7,西村淳也,57,ダ1400,,良,**,1:26.8,0.7,**,**,**,**,**,13-12,34.3-39.3,38.6,500(+6),,,アーディアイリ,,2023106979
2025/10/11,4東京3,雨,6,2歳新馬,,16,1,2,6.7,4,7,北村友一,56,ダ1600,,稍,**,1:41.3,1.4,**,**,**,**,**,8-7,36.0-38.3,39.0,494(0),,,セイントエルモズ,,2023106979
