日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,7,14,151.6,14,13,岩田望来,58,芝2200,,重,-15,2:14.8,2.7,80,,,,,17-17-17-17,35.4-35.6,36.3,480(-4),,,メイショウタバル,,2021105829
2026/02/21,1東京7,晴,11,ダイヤモンドS(GIII),,15,7,13,3.0,1,1,ルメール,57.5,芝3400,,良,**,3:32.0,-0.2,**,**,**,**,**,6-4-2-1,37.0-34.8,34.8,484(+10),,,(ファイアンクランツ),"4,352.5",2021105829
2025/11/09,5東京2,曇,11,アルゼンチン共和国杯(GII),,18,8,18,3.4,1,2,ルメール,57,芝2500,,良,**,2:30.3,0.1,**,**,**,**,**,14-9-9-8,30.6-34.6,34.2,474(-8),,,ミステリーウェイ,"2,336.4",2021105829
2025/07/27,1札幌2,曇,11,札幌日経賞(L),,10,3,3,3.4,1,1,北村友一,57,芝2600,,稍,**,2:41.7,-0.1,**,**,**,**,**,6-7-8-8,38.2-35.6,35.1,482(0),,,(フルール),"2,821.0",2021105829
2025/06/01,2東京12,曇,12,目黒記念(GII),,18,4,8,3.7,2,11,ルメール,56.5,芝2500,,良,**,2:33.9,1.0,**,**,**,**,**,7-9-9-9,31.4-34.8,35.2,482(+6),,,アドマイヤテラ,,2021105829
2025/03/09,2中山4,晴,9,湾岸S(3勝クラス),,12,4,4,1.7,1,1,ルメール,57,芝2500,,稍,**,2:33.5,-0.4,**,**,**,**,**,5-7-7-3,30.8-37.6,37.0,476(+6),,,(エンドウノハナ),"1,865.2",2021105829
2024/12/22,5中山8,晴,9,グッドラックH(2勝クラス),,16,8,16,2.5,1,1,ルメール,56,芝2500,,良,**,2:32.2,-0.3,**,**,**,**,**,8-8-7-5,30.6-36.4,35.7,470(+2),,,(サンライズソレイユ),"1,587.1",2021105829
2024/09/16,4中山5,曇,11,朝日セントライト記念(GII),,14,7,12,10.7,5,5,武豊,57,芝2200,,良,**,2:12.7,1.1,**,**,**,**,**,13-13-9-9,36.2-34.6,34.6,468(-2),,,アーバンシック,540.0,2021105829
2024/08/17,3新潟3,晴,8,3歳以上1勝クラス,,12,4,4,1.4,1,1,ルメール,55,芝2400,,良,**,2:24.7,-0.8,**,**,**,**,**,4-4-3-3,35.0-35.6,35.3,470(-6),,,(グランアルティスタ),800.0,2021105829
2024/06/09,3東京4,曇,8,3歳以上1勝クラス,,11,2,2,1.9,1,2,ルメール,55,芝2000,,良,**,1:59.6,0.1,**,**,**,**,**,6-5-4,36.6-33.9,33.5,476(+6),,,ヴィレム,320.0,2021105829
2024/03/17,2中山8,晴,11,フジTVスプリングS(GII),,10,8,10,13.8,8,6,戸崎圭太,57,芝1800,,良,**,1:50.2,0.8,**,**,**,**,**,8-8-8-8,37.5-33.7,33.4,470(+6),,,シックスペンス,,2021105829
2024/01/07,1中山2,曇,6,3歳新馬,,17,2,3,2.4,1,1,ルメール,57,芝2000,,良,**,2:02.1,-0.1,**,**,**,**,**,8-6-5-4,36.4-35.9,35.3,464(0),,,(アンゴラブラック),620.0,2021105829
