日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,5,9,41.6,8,4,横山武史,58,芝2200,,重,-15,2:12.6,0.5,96,,,,,1-1-1-1,35.4-35.6,36.1,518(-2),,,メイショウタバル,"4,500.0",2021106787
2026/03/28,3中山1,晴,11,日経賞(GII),,15,4,7,2.8,1,7,横山武史,57,芝2500,,良,**,2:31.7,1.0,**,**,**,**,**,4-3-3-3,29.4-36.0,36.7,520(-2),,,マイユニバース,,2021106787
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,5,10,111.5,12,2,横山武史,58,芝2500,,良,**,2:31.6,0.1,**,**,**,**,**,2-3-2-2,29.7-35.6,35.5,522(0),,,ミュージアムマイル,"20,100.8",2021106787
2025/11/30,5東京8,晴,12,ジャパンC(GI),,17,2,3,349.3,16,9,丹内祐次,58,芝2400,,良,**,2:21.9,1.6,**,**,**,**,**,6-6-4-3,34.5-34.6,35.6,522(+2),,,カランダガン,,2021106787
2025/11/02,4東京11,曇,11,天皇賞(秋)(GI),,14,1,1,117.0,14,12,津村明秀,58,芝2000,,良,**,1:59.2,0.6,**,**,**,**,**,2-3-3,37.1-32.9,33.3,520(+18),,,マスカレードボール,,2021106787
2025/09/21,4中山7,曇,11,産経賞オールカマー(GII),,11,1,1,8.1,5,8,丹内祐次,57,芝2200,,良,**,2:11.0,0.8,**,**,**,**,**,5-5-2-2,35.1-34.5,35.2,502(+4),,,レガレイラ,,2021106787
2025/08/17,1札幌8,曇,11,札幌記念(GII),,16,2,4,10.7,6,10,丹内祐次,58,芝2000,,稍,**,2:02.6,1.1,**,**,**,**,**,12-13-13-13,36.1-36.9,36.1,498(-6),,,トップナイフ,,2021106787
2025/04/06,2阪神4,晴,11,大阪杯(GI),,15,5,9,20.1,9,8,丹内祐次,58,芝2000,,良,**,1:56.8,0.6,**,**,**,**,**,5-6-5-5,34.9-35.1,34.6,504(-6),,,ベラジオオペラ,,2021106787
2025/01/26,1中山9,晴,11,アメリカジョッキーC(GII),,18,7,13,7.4,3,3,横山武史,57,芝2200,,良,**,2:12.2,0.1,**,**,**,**,**,14-13-3-2,36.5-36.6,36.4,510(+6),,,ダノンデサイル,"1,618.4",2021106787
2024/12/07,4中京3,曇,11,中日新聞杯(GIII),,18,5,9,4.5,2,6,横山武史,58,芝2000,,良,**,1:59.1,0.7,**,**,**,**,**,14-13-5-5,35.3-35.6,35.6,504(-8),,,デシエルト,,2021106787
2024/10/20,5京都6,晴,11,菊花賞(GI),,18,5,9,6.0,3,14,Ｍ．デム,57,芝3000,,良,**,3:08.4,4.3,**,**,**,**,**,16-16-11-6,37.0-35.9,39.4,512(+8),,,アーバンシック,,2021106787
2024/09/16,4中山5,曇,11,朝日セントライト記念(GII),,14,5,8,2.9,1,2,Ｍ．デム,57,芝2200,,良,**,2:11.9,0.3,**,**,**,**,**,9-10-7-3,36.2-34.6,34.2,504(+2),,,アーバンシック,"2,228.0",2021106787
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,3,6,14.3,6,6,Ｍ．デム,57,芝2400,,良,**,2:25.1,0.8,**,**,**,**,**,16-13-5-4,36.3-33.8,34.3,502(+2),,,ダノンデサイル,,2021106787
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,6,12,15.8,7,2,モレイラ,57,芝2000,,良,**,1:57.1,0.0,**,**,**,**,**,9-8-9-8,34.2-35.8,34.2,500(-4),,,ジャスティンミラノ,"8,750.4",2021106787
2024/03/03,2中山4,晴,11,報知弥生ディープ記念(GII),,11,6,7,34.9,6,1,Ｍ．デム,57,芝2000,,良,**,1:59.8,-0.2,**,**,**,**,**,9-7-2-2,35.2-35.1,34.9,504(+6),,,(シンエンペラー),"5,478.4",2021106787
2024/01/08,1中山3,晴,6,3歳1勝クラス,,11,4,4,6.8,5,2,丹内祐次,57,芝2000,,良,**,1:59.9,0.1,**,**,**,**,**,10-10-10-9,35.9-35.7,34.9,498(-4),,,ファビュラススター,310.0,2021106787
2023/11/25,3京都7,晴,11,ラジオN杯京都2歳S(GIII),,14,7,11,194.3,14,8,角田大河,56,芝2000,,良,**,2:00.4,0.6,**,**,**,**,**,13-12-7-10,35.0-35.9,35.9,502(+8),,,シンエンペラー,,2021106787
2023/10/29,4新潟6,小雨,1,2歳未勝利,,15,7,12,3.1,1,1,丹内祐次,56,芝2000,,重,**,2:03.8,-0.4,**,,,,,2-2-2-2,37.2-36.4,36.2,494(+2),,,(ロンギングガバーナ),550.0,2021106787
2023/09/30,4中山8,曇,4,2歳未勝利,,14,5,7,17.5,6,2,丹内祐次,55,芝2000,,良,**,2:03.5,0.1,**,,,,,3-2-2-2,37.3-35.3,35.2,492(-6),,,アバンデル,220.0,2021106787
2023/09/10,4中山2,晴,2,2歳未勝利,,10,7,8,60.1,8,4,丹内祐次,55,芝2000,,良,**,2:01.5,0.9,**,,,,,1-1-1-1,36.4-35.1,36.0,498(+12),,,コイヌール,83.0,2021106787
