日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,6,11,85.0,12,11,坂井瑠星,58,芝2200,,重,-15,2:14.2,2.1,84,,,,,14-14-14-15,35.4-35.6,36.2,500(-8),,,メイショウタバル,,2021110048
2026/05/03,3京都4,小雨,11,天皇賞(春)(GI),,15,5,8,30.2,6,7,岩田望来,58,芝3200,,良,**,3:14.6,0.9,**,**,**,**,**,10-10-9-10,36.0-35.4,35.5,508(0),,,クロワデュノール,,2021110048
2026/02/15,キングアブドゥル,,7,ネオムターフC(GI),,11,,7,5.5,3,4,坂井瑠星,57,芝2100,,良,,,,,,,,,,,,計不,,,,,2021110048
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,1,2,26.6,6,14,坂井瑠星,58,芝2500,,良,**,2:32.6,1.1,**,**,**,**,**,5-5-8-7,29.7-35.6,36.0,496(-2),,,ミュージアムマイル,,2021110048
2025/11/30,5東京8,晴,12,ジャパンC(GI),,17,8,16,28.9,7,8,坂井瑠星,58,芝2400,,良,**,2:21.4,1.1,**,**,**,**,**,4-5-6-6,34.5-34.6,34.7,498(0),,,カランダガン,,2021110048
2025/09/13,レパーズタウン,晴,,愛チャンピオンS(GI),,8,1,3,,3,6,坂井瑠星,61,芝2000,,稍,,,,,,,,,,,,計不,,,,,2021110048
2025/04/05,メイダン,,,ドバイシーマクラシッ(GI),,9,,8,5.3,3,7,坂井瑠星,57,芝2410,,良,,,,,,,,,,,,計不,,,,,2021110048
2025/02/23,キングアブドゥル,晴,,ネオムターフC(GII),,10,,6,,1,1,坂井瑠星,57,芝2100,,良,,2:07.74,,,,,,,,,,計不,,,(),,2021110048
2024/11/24,5東京8,晴,12,ジャパンC(GI),,14,5,7,26.8,8,2,坂井瑠星,56,芝2400,,良,**,2:25.5,0.0,**,**,**,**,**,1-1-2-2,37.1-33.4,33.1,488(0),,,ドウデュース,"16,563.9",2021110048
2024/10/06,パリロンシャン,,,凱旋門賞(GI),,16,,10,6.3,3,12,坂井瑠星,56.5,芝2400,,重,,,,,,,,,,,,計不,,,,,2021110048
2024/09/14,レパーズタウン,晴,,愛チャンピオンS(GI),,8,,8,7.9,4,3,坂井瑠星,58.5,芝2000,,良,,,,,,,,,,,,計不,,,,,2021110048
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,7,13,17.8,7,3,坂井瑠星,57,芝2400,,良,**,2:24.9,0.6,**,**,**,**,**,8-7-9-9,36.3-33.8,33.4,486(+4),,,ダノンデサイル,"7,912.4",2021110048
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,7,14,8.4,5,5,坂井瑠星,57,芝2000,,良,**,1:57.5,0.4,**,**,**,**,**,8-8-7-6,34.2-35.8,34.8,482(+2),,,ジャスティンミラノ,"2,000.0",2021110048
2024/03/03,2中山4,晴,11,報知弥生ディープ記念(GII),,11,5,5,3.5,3,2,川田将雅,57,芝2000,,良,**,2:00.0,0.2,**,**,**,**,**,4-3-5-5,35.2-35.1,34.8,480(-2),,,コスモキュランダ,"2,222.4",2021110048
2023/12/28,5中山9,晴,11,ホープフルS(GI),,16,3,6,3.1,2,2,ムルザバ,56,芝2000,,良,**,2:00.3,0.1,**,**,**,**,**,3-4-3-2,35.4-35.9,35.7,482(+2),,,レガレイラ,"2,836.0",2021110048
2023/11/25,3京都7,晴,11,ラジオN杯京都2歳S(GIII),,14,4,5,3.7,1,1,モレイラ,56,芝2000,,良,**,1:59.8,-0.1,**,**,**,**,**,11-12-9-7,35.0-35.9,35.3,480(+6),,,(プレリュードシチー),"3,349.7",2021110048
2023/11/04,5東京1,晴,5,2歳新馬,,13,4,4,4.0,2,1,横山武史,56,芝1800,,良,**,1:48.1,-0.5,**,,,,,2-3-3,37.0-34.0,33.8,474(0),,,(トゥルーサクセサー),720.0,2021110048
