日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,7,13,84.0,11,14,古川吉洋,58,芝2200,,重,-15,2:14.9,2.8,79,,,,,15-14-14-11,35.4-35.6,36.9,456(-6),,,メイショウタバル,,2020103101
2026/03/15,1中京2,晴,11,東海テレビ杯金鯱賞(GII),,14,6,9,13.5,8,1,古川吉洋,57,芝2000,,良,**,1:58.1,0.0,**,**,**,**,**,11-11-12-10,36.1-35.1,33.5,462(+4),,,(ジョバンニ),"6,798.0",2020103101
2026/02/15,2京都6,曇,11,京都記念(GII),,12,6,8,15.2,5,4,古川吉洋,57,芝2200,,良,**,2:13.1,0.4,**,**,**,**,**,7-7-7-6,37.7-33.9,33.7,458(0),,,ジューンテイク,930.0,2020103101
2025/12/13,5中京3,晴,11,中日新聞杯(GIII),,18,4,8,5.4,3,1,古川吉洋,56.5,芝2000,,良,**,1:57.6,-0.2,**,**,**,**,**,8-9-9-10,35.1-34.1,33.2,458(0),,,(レッドバリエンテ),"4,363.7",2020103101
2025/11/15,4京都3,晴,10,アンドロメダS(L),,16,5,9,4.5,2,2,古川吉洋,58,芝2000,,良,**,1:59.0,0.1,**,**,**,**,**,6-6-6-6,35.5-35.1,34.6,458(+14),,,ウエストナウ,"1,109.6",2020103101
2025/08/31,3新潟4,晴,11,新潟記念(GIII),,16,1,2,54.3,10,11,古川吉洋,57,芝2000,,良,**,1:58.8,0.8,**,**,**,**,**,8-8,35.6-33.2,33.4,444(0),,,シランケド,,2020103101
2025/07/20,2小倉8,晴,11,小倉記念(GIII),,16,3,6,6.1,3,2,古川吉洋,55,芝2000,,良,**,2:00.2,0.3,**,**,**,**,**,8-8-5-4,35.0-37.4,36.4,444(-10),,,イングランドアイズ,"1,717.2",2020103101
2025/06/07,3阪神1,曇,11,垂水S(3勝クラス),,15,7,12,5.3,3,1,古川吉洋,58,芝2000,,良,**,1:58.6,-0.1,**,**,**,**,**,6-6-5-4,35.4-35.6,35.3,454(-4),,,(バッデレイト),"1,872.2",2020103101
2025/05/11,2京都6,曇,9,烏丸S(3勝クラス),,14,5,7,5.0,3,3,古川吉洋,57,芝2400,,良,**,2:24.4,0.1,**,**,**,**,**,7-7-5-5,34.0-35.1,34.9,458(+4),,,サンライズソレイユ,464.6,2020103101
2025/03/30,2阪神2,曇,10,御堂筋S(3勝クラス),,12,4,4,3.8,2,4,古川吉洋,58,芝2400,,良,**,2:25.5,0.4,**,**,**,**,**,4-4-5-3,37.2-35.9,34.6,454(0),,,ミステリーウェイ,280.0,2020103101
2025/02/15,1京都5,晴,10,飛鳥S(3勝クラス),,9,3,3,2.6,1,3,古川吉洋,58,芝2000,,良,**,2:01.1,0.4,**,**,**,**,**,6-6-5-7,37.5-34.9,34.8,454(-2),,,ウエストナウ,462.9,2020103101
2025/01/06,1中京2,雨,10,寿S(3勝クラス),,18,2,4,4.5,2,2,古川吉洋,58,芝2000,,稍,**,2:02.1,0.1,**,**,**,**,**,9-9-11-8,36.4-36.1,35.4,456(+4),,,グランドカリナン,751.8,2020103101
2024/12/08,7京都4,小雨,9,オリオンS(3勝クラス),,12,5,6,7.2,3,2,古川吉洋,58,芝2200,,良,**,2:13.8,0.0,**,**,**,**,**,4-6-5-3,37.5-33.7,33.3,452(+2),,,マイネルエンペラー,747.6,2020103101
2024/11/09,6京都3,晴,9,修学院S(3勝クラス),,14,3,4,6.4,3,2,古川吉洋,58,芝2000,,良,**,1:57.9,0.1,**,**,**,**,**,5-5-5-5,35.6-35.8,35.1,450(+10),,,ショウナンアデイブ,749.2,2020103101
2024/09/07,3中京1,晴,10,ムーンライトH(3勝クラス),,16,8,15,9.2,7,2,古川吉洋,57,芝2200,,良,**,2:11.1,0.0,**,**,**,**,**,10-11-11-9,34.2-35.0,34.0,440(+6),,,ケイアイサンデラ,749.8,2020103101
2024/07/20,3小倉7,晴,11,テレQ杯(3勝クラス),,12,7,10,5.7,3,2,秋山稔樹,58,芝2000,,稍,**,2:00.3,0.1,**,**,**,**,**,8-8-7-6,35.5-36.3,35.6,434(-16),,,マイネルメモリー,747.4,2020103101
2024/06/02,4京都2,曇,10,下鴨S(3勝クラス),,13,3,3,4.6,1,3,古川吉洋,58,芝2000,,良,**,1:59.5,0.1,**,**,**,**,**,3-3-3-3,35.6-35.3,35.0,450(+2),,,ベリーヴィーナス,464.0,2020103101
2024/04/07,2阪神6,晴,10,ダイワスカーレットC(3勝クラス),,16,6,12,15.3,7,2,古川吉洋,57,芝2000,,良,**,1:59.1,0.3,**,**,**,**,**,4-4-4-3,35.6-34.5,34.5,448(+8),,,エーデルブルーメ,750.2,2020103101
2024/03/03,2小倉8,曇,11,関門橋S(3勝クラス),,14,2,2,8.0,4,3,古川吉洋,58,芝2000,,稍,**,2:02.2,0.5,**,**,**,**,**,5-6-7-6,36.6-35.3,35.4,440(-14),,,ニホンピロキーフ,464.3,2020103101
2024/01/28,2京都2,曇,10,八坂S(3勝クラス),,12,5,6,8.7,6,6,古川吉洋,57,芝2200,,良,**,2:13.3,0.6,**,**,**,**,**,4-3-3-2,36.4-35.9,36.4,454(+4),,,サスツルギ,,2020103101
