日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,4,8,20.7,5,4,古川吉洋,57,ダ1400,,良,-11,1:26.6,1.2,64,,,,,9-8,35.1-37.4,37.8,508(-6),,,モズジェネラル,87.0,2023105209
2026/05/30,3京都11,晴,1,3歳未勝利,,16,3,5,21.1,6,5,小沢大仁,57,ダ1400,,良,**,1:25.9,0.9,**,**,**,**,**,2-2,35.5-37.2,37.9,514(0),,,ニホンピロローカス,59.0,2023105209
2026/03/14,1阪神7,晴,2,3歳未勝利,,16,8,16,15.6,5,5,古川吉洋,57,ダ1400,,良,**,1:25.9,0.4,**,**,**,**,**,9-7,35.0-38.2,37.6,514(0),,,ジューンアゲイン,59.0,2023105209
2026/03/01,1阪神4,晴,2,3歳未勝利,,16,2,4,71.1,10,8,長岡禎仁,57,ダ1400,,良,**,1:27.1,1.0,**,**,**,**,**,7-8,34.3-39.3,39.5,514(+4),,,アーディアイリ,,2023105209
2025/12/20,5中京5,雨,1,2歳未勝利,,16,7,14,8.7,4,10,菱田裕二,56,ダ1200,,稍,**,1:14.8,1.2,**,**,**,**,**,5-6,35.6-38.0,38.7,510(-6),,,ミヤラティーニ,,2023105209
2025/12/06,5阪神1,晴,2,2歳未勝利,,16,6,12,221.9,14,16,古川吉洋,56,ダ1800,,良,**,1:57.2,3.5,**,**,**,**,**,7-9-9-11,37.3-37.4,39.9,516(+20),,,ヴォーカライズ,,2023105209
2025/08/03,3中京4,晴,2,2歳新馬,,15,4,7,116.4,14,8,小沢大仁,55,ダ1800,,良,**,1:59.2,2.8,**,**,**,**,**,2-2-2-3,37.9-39.5,42.1,496(0),,,マヴィ,,2023105209
