日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,6,12,51.8,7,5,松本大輝,57,ダ1400,,良,-11,1:26.7,1.3,63,,,,,11-12,35.1-37.4,37.5,482(-6),,,モズジェネラル,58.0,2023102459
2026/05/02,3京都3,晴,1,3歳未勝利,,16,7,13,26.9,6,7,松若風馬,57,ダ1200,,重,**,1:12.8,1.3,**,**,**,**,**,13-12,35.9-35.6,35.7,488(0),,,スターフュージョン,,2023102459
2026/04/11,2阪神5,晴,2,3歳未勝利,,16,1,2,156.1,13,6,松本大輝,57,ダ1400,,重,**,1:24.8,1.6,**,**,**,**,**,8-8,33.6-37.7,38.0,488(+6),,,ゼロヴィジビリティ,,2023102459
2026/03/11,高知,晴,2,竜王盃(3歳),,12,8,11,3.7,2,2,松本大輝,57,ダ1400,,稍,**,1:33.1,0.2,**,,,,,5-5-5-3,,41.6,482(-8),,,ブルズアイプリンス,80.0,2023102459
2026/02/01,2京都2,晴,2,3歳未勝利,,15,8,15,28.5,6,12,吉村誠之,57,ダ1200,,良,**,1:15.4,1.7,**,**,**,**,**,10-10,36.4-37.3,37.7,490(-2),,,ジャスパーメルチェ,,2023102459
2026/01/24,1京都8,晴,2,3歳未勝利,,14,8,13,26.0,6,9,高杉吏麒,57,ダ1200,,良,**,1:15.0,0.9,**,**,**,**,**,12-12,37.1-37.0,36.5,492(+6),,,リアルアルバ,,2023102459
2025/12/27,5阪神7,晴,3,2歳未勝利,,16,8,15,125.5,10,9,松本大輝,55,ダ1400,,稍,**,1:27.2,1.8,**,**,**,**,**,2-2,35.2-37.7,39.4,486(+6),,,ハグレジョー,,2023102459
2025/10/25,4新潟3,晴,2,2歳未勝利,,15,8,15,15.1,8,15,松本大輝,55,ダ1200,,良,**,1:17.7,5.6,**,**,**,**,**,4-10,34.5-37.6,42.7,480(-6),,,レディサン,,2023102459
2025/08/03,1札幌4,晴,1,2歳未勝利,,12,8,12,9.7,6,5,松本大輝,54,ダ1000,,良,**,1:01.3,0.8,**,**,**,**,**,3-3,34.8-37.3,37.9,486(-6),,,アンティミスト,56.0,2023102459
2025/07/06,1函館8,曇,5,2歳新馬,,6,5,5,11.6,4,6,鮫島克駿,55,芝1800,,稍,**,1:54.0,2.9,**,**,**,**,**,2-3-3-3,38.5-35.5,38.0,492(0),,,ショウナンガルフ,,2023102459
