日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,4,7,287.4,18,6,幸英明,58,芝2200,,重,-15,2:13.5,1.4,89,,,,,9-9-8-7,35.4-35.6,36.1,482(0),,,メイショウタバル,,2021100651
2026/03/22,1阪神10,曇,11,阪神大賞典(GII),,10,3,3,12.6,5,9,松山弘平,57,芝3000,,良,**,3:04.4,2.4,**,**,**,**,**,2-2-2-8,36.8-34.5,36.3,482(+2),,,アドマイヤテラ,,2021100651
2026/01/18,1京都7,晴,11,日経新春杯(GII),,13,5,7,25.2,11,2,松山弘平,55,芝2400,,良,**,2:25.7,0.0,**,**,**,**,**,1-1-1-1,35.9-34.4,34.4,480(+2),,,ゲルチュタール,"2,326.4",2021100651
2025/12/13,5中京3,晴,11,中日新聞杯(GIII),,18,2,4,4.6,1,7,松山弘平,55,芝2000,,良,**,1:58.1,0.5,**,**,**,**,**,6-6-9-6,35.1-34.1,33.8,478(+2),,,シェイクユアハート,,2021100651
2025/09/21,4阪神7,曇,10,ムーンライトH(3勝クラス),,9,8,9,4.0,2,1,松山弘平,56,芝2200,,良,**,2:14.8,-0.2,**,**,**,**,**,2-2-2-2,37.7-33.9,33.8,476(0),,,(レミージュ),"1,859.6",2021100651
2025/08/31,4中京4,晴,9,美濃特別(2勝クラス),,8,2,2,2.3,2,1,松山弘平,58,芝2200,,良,**,2:13.2,-0.2,**,**,**,**,**,2-2-2-2,36.7-33.4,33.2,476(-2),,,(ジュンツバメガエシ),"1,567.5",2021100651
2025/06/14,3阪神3,雨,8,三田特別(2勝クラス),,6,5,5,10.8,3,2,松山弘平,58,芝2400,,重,**,2:26.9,0.9,**,**,**,**,**,1-1-1-2,38.3-35.2,36.1,478(-6),,,ゲルチュタール,624.0,2021100651
2025/05/18,1新潟6,曇,10,信濃川特別(2勝クラス),,10,7,8,4.0,1,6,丸山元気,58,芝2000,,良,**,2:01.9,0.5,**,**,**,**,**,5-5,36.9-34.8,34.7,484(+10),,,ドラゴンヘッド,,2021100651
2025/03/15,2中京1,曇,8,4歳以上1勝クラス,,18,5,9,2.9,2,1,丸山元気,57,芝2200,,良,**,2:15.1,-0.1,**,**,**,**,**,7-7-7-7,36.3-35.2,34.5,474(0),,,(ディーガレジェンド),800.0,2021100651
2025/02/23,1京都8,曇,7,4歳以上1勝クラス,,10,2,2,2.3,1,2,高杉吏麒,56,芝2400,,良,**,2:28.2,0.4,**,**,**,**,**,5-5-9-9,36.8-34.9,34.3,474(0),,,アメジストブラック,320.0,2021100651
2025/01/13,1中京5,晴,7,4歳以上1勝クラス,,18,3,6,2.7,2,4,鮫島克駿,57,芝2200,,良,**,2:14.7,0.2,**,**,**,**,**,7-7-3-4,35.0-35.7,35.5,474(+2),,,ダノンブリザード,120.0,2021100651
2024/12/07,4中京3,曇,7,3歳以上1勝クラス,,18,8,17,8.9,5,1,鮫島克駿,56,芝2200,,良,**,2:11.8,-0.1,**,**,**,**,**,12-12-10-6,34.3-35.8,35.2,472(0),,,(レジェンドシップ),800.0,2021100651
2024/09/01,2中京8,曇,6,3歳未勝利,,18,7,14,3.9,1,2,松山弘平,57,芝2000,,重,**,2:00.8,0.1,**,**,**,**,**,12-12-15-15,36.3-36.3,35.2,472(-2),,,オメガナビゲーター,220.0,2021100651
2024/08/18,2中京4,晴,6,3歳未勝利,,18,3,6,5.6,2,2,和田竜二,57,芝2000,,良,**,2:00.2,0.0,**,**,**,**,**,14-14-12-11,35.9-35.2,34.4,474(-2),,,モズマーヴェリック,220.0,2021100651
2024/05/25,3京都11,晴,4,3歳未勝利,,12,5,5,4.8,3,6,和田竜二,57,芝2200,,良,**,2:13.5,0.7,**,**,**,**,**,2-2-2-2,36.3-34.8,35.5,476(-6),,,ミッキーストライク,,2021100651
2024/05/04,3京都5,晴,5,3歳未勝利,,16,6,11,76.5,10,3,和田竜二,57,芝2200,,良,**,2:13.3,0.3,**,**,**,**,**,3-3-2-2,35.6-34.3,34.5,482(-10),,,バッデレイト,140.0,2021100651
2024/01/20,1京都6,曇,5,3歳新馬,,13,6,9,34.8,9,8,田口貫太,55,芝2000,,重,**,2:06.3,1.5,**,**,**,**,**,11-10-10-10,37.9-36.1,36.7,492(0),,,ダノンピレネー,,2021100651
