日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,8,16,3.7,3,1,岩田望来,57,ダ1400,,良,-11,1:25.4,-0.9,78,,,,,4-4,35.1-37.4,37.2,502(+4),,,(タガノプディング),580.0,2023105727
2026/06/07,3阪神2,雨,4,3歳未勝利,,16,4,7,7.4,3,4,森田誠也,54,ダ1400,,良,**,1:25.5,0.6,**,**,**,**,**,9-7,35.7-36.9,36.7,498(-4),,,ゼルダ,87.0,2023105727
2026/04/04,2阪神3,小雨,2,3歳未勝利,,16,4,8,27.6,7,4,森田誠也,54,ダ1400,,稍,**,1:25.1,1.4,**,**,**,**,**,6-6,34.6-37.1,37.4,502(+2),,,バトルアックス,89.0,2023105727
2026/03/21,1阪神9,晴,4,3歳未勝利,,15,5,9,12.7,5,4,森田誠也,54,ダ1400,,稍,**,1:26.2,1.4,**,**,**,**,**,3-5,35.4-36.9,37.8,500(+2),,,ポッドリプル,89.0,2023105727
2026/02/08,1小倉6,曇,1,3歳未勝利,,16,1,1,8.5,4,11,松本大輝,57,ダ1700,,良,**,1:50.2,2.7,**,**,**,**,**,3-3-2-2,28.7-40.3,42.7,498(-4),,,イサギ,,2023105727
2026/01/25,1京都9,晴,4,3歳未勝利,,10,6,6,7.3,3,4,高杉吏麒,57,ダ1400,,良,**,1:28.2,0.6,**,**,**,**,**,1-1,37.8-36.7,37.3,502(-4),,,ワイドグンサ,89.0,2023105727
2025/12/07,5阪神2,晴,3,2歳未勝利,,18,6,12,57.3,10,10,和田陽希,53,芝1400,,良,**,1:21.6,1.4,**,**,**,**,**,8-8,33.7-35.0,35.3,506(0),,,メイクワンズデイ,,2023105727
2025/10/18,4東京6,晴,1,2歳未勝利,,11,8,11,5.3,2,6,北村友一,56,ダ1600,,良,**,1:40.4,1.9,**,**,**,**,**,3-3,35.9-37.4,39.0,506(-2),,,サンデーパーティー,,2023105727
2025/10/04,3京都1,雨,3,2歳新馬,,16,4,7,19.9,6,4,国分恭介,56,ダ1400,,重,**,1:25.6,1.2,**,**,**,**,**,7-7,34.9-37.2,37.3,508(0),,,アスクケンタッキー,110.0,2023105727
