日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,4,7,306.0,15,14,西塚洸二,55,ダ1400,,良,-11,1:29.7,4.3,27,,,,,15-16,35.1-37.4,40.0,482(-8),,,モズジェネラル,,2023104257
2026/03/14,1阪神7,晴,1,3歳未勝利,,13,6,8,15.5,3,11,岩田望来,55,ダ1800,,良,**,1:59.4,3.1,**,**,**,**,**,2-2-2-2,38.4-39.2,42.0,490(+12),,,シャンデヴィーニュ,,2023104257
2025/11/23,4京都6,晴,3,2歳未勝利,,16,3,6,321.4,12,10,和田竜二,55,芝2000,,良,**,2:02.2,1.8,**,**,**,**,**,7-7-10-11,35.9-35.7,36.5,478(-2),,,エアビーアゲイル,,2023104257
2025/11/02,3京都11,晴,2,2歳未勝利,,7,6,6,86.1,7,7,和田竜二,55,芝2000,,良,**,2:03.6,1.7,**,**,**,**,**,1-1-6-6,37.8-35.2,36.3,480(-2),,,ワンダフルボンド,,2023104257
2025/08/03,2新潟4,晴,3,2歳未勝利,,6,6,6,20.8,4,4,高杉吏麒,54,芝1600,,良,**,1:36.7,2.1,**,**,**,**,**,2-3,36.3-34.2,35.6,482(+4),,,ニシノエースサマ,84.0,2023104257
2025/07/20,2小倉8,晴,1,2歳未勝利,,11,2,2,20.9,6,7,高杉吏麒,54,ダ1000,,稍,**,1:01.3,2.9,**,**,**,**,**,10-10,34.3-35.6,37.3,478(0),,,ローズカリス,,2023104257
2025/07/05,2小倉3,晴,5,2歳新馬,,8,7,7,13.6,6,5,和田竜二,55,芝1200,,良,**,1:10.8,1.4,**,**,**,**,**,4-4,34.5-34.9,36.0,478(0),,,キャンディード,75.0,2023104257
