日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,3,5,2.5,1,2,北村友一,58,芝2200,,重,-15,2:12.2,0.1,99,,,,,5-5-4-3,35.4-35.6,35.2,514(0),,,メイショウタバル,"12,108.0",2022105102
2026/05/03,3京都4,小雨,11,天皇賞(春)(GI),,15,4,7,1.8,1,1,北村友一,58,芝3200,,良,**,3:13.7,0.0,**,**,**,**,**,6-5-5-3,36.0-35.4,34.9,514(-8),,,(ヴェルテンベルク),"30,319.2",2022105102
2026/04/05,2阪神4,晴,11,大阪杯(GI),,15,8,15,2.5,1,1,北村友一,58,芝2000,,良,**,1:57.6,-0.1,**,**,**,**,**,8-8-6-4,34.9-35.5,34.9,522(+10),,,(メイショウタバル),"30,319.2",2022105102
2025/11/30,5東京8,晴,12,ジャパンC(GI),,17,1,2,4.6,2,4,北村友一,56,芝2400,,良,**,2:20.9,0.6,**,**,**,**,**,4-4-4-5,34.5-34.6,34.4,512(0),,,カランダガン,"7,500.0",2022105102
2025/10/05,パリロンシャン,,5,凱旋門賞(GI),,17,,15,6.2,3,14,北村友一,56.5,芝2400,,重,,,,,,,,,,,,計不,,,,,2022105102
2025/09/14,パリロンシャン,,,プランスドランジュ賞(GIII),,7,,3,,1,1,北村友一,58,芝2000,,重,,2:11.69,,,,,,,,,,計不,,,(),,2022105102
2025/06/01,2東京12,晴,11,東京優駿(GI),,18,7,13,2.1,1,1,北村友一,57,芝2400,,良,**,2:23.7,-0.1,**,**,**,**,**,4-3-2-3,35.7-34.8,34.2,504(+4),,,(マスカレードボール),"32,771.3",2022105102
2025/04/20,3中山8,曇,11,皐月賞(GI),,18,5,10,1.5,1,2,北村友一,57,芝2000,,良,**,1:57.3,0.3,**,**,**,**,**,4-4-6-2,34.5-34.8,34.7,500(+4),,,ミュージアムマイル,"8,798.4",2022105102
2024/12/28,5中山9,晴,11,ホープフルS(GI),,18,3,6,1.8,1,1,北村友一,56,芝2000,,良,**,2:00.5,-0.3,**,**,**,**,**,7-7-4-3,36.0-35.5,34.9,496(-8),,,(ジョバンニ),"7,127.4",2022105102
2024/11/16,5東京5,曇,11,東京スポーツ杯2歳S(GII),,9,4,4,2.2,1,1,北村友一,56,芝1800,,良,**,1:46.8,-0.1,**,**,**,**,**,3-3-2,36.1-33.4,33.3,504(+24),,,(サトノシャイニング),"3,831.5",2022105102
2024/06/09,3東京4,曇,5,2歳新馬,,11,6,6,6.1,3,1,北村友一,55,芝1800,,良,**,1:46.7,-0.4,**,**,**,**,**,2-2-2,36.9-33.9,33.8,480(0),,,(アルレッキーノ),720.0,2022105102
