日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,8,17,7.8,5,7,ルメール,56,芝2200,,重,-15,2:13.7,1.6,87,,,,,11-12-10-9,35.4-35.6,35.9,484(+2),,,メイショウタバル,,2021105898
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,3,5,3.3,1,4,ルメール,56,芝2500,,良,**,2:31.7,0.2,**,**,**,**,**,14-14-15-12,29.7-35.6,34.6,482(+2),,,ミュージアムマイル,"7,500.0",2021105898
2025/11/16,4京都4,晴,11,エリザベス女王杯(GI),,16,4,7,2.3,1,1,戸崎圭太,56,芝2200,,良,**,2:11.0,-0.3,**,**,**,**,**,9-10-10-8,35.4-34.9,34.2,480(+8),,,(パラディレーヌ),"13,348.6",2021105898
2025/09/21,4中山7,曇,11,産経賞オールカマー(GII),,11,4,4,3.3,1,1,戸崎圭太,57,芝2200,,良,**,2:10.2,-0.2,**,**,**,**,**,8-8-6-6,35.1-34.5,34.0,472(-6),,,(ドゥラドーレス),"6,777.0",2021105898
2025/06/15,3阪神4,晴,11,宝塚記念(GI),,17,8,17,4.9,2,11,戸崎圭太,56,芝2200,,稍,**,2:12.6,1.5,**,**,**,**,**,8-8-6-5,34.8-36.0,37.0,478(+10),,,メイショウタバル,,2021105898
2024/12/22,5中山8,晴,11,有馬記念(GI),,15,4,8,10.9,5,1,戸崎圭太,54,芝2500,,良,**,2:31.8,0.0,**,**,**,**,**,6-5-5-3,31.4-35.2,34.9,468(-4),,,(シャフリヤール),"50,340.2",2021105898
2024/11/10,6京都4,曇,11,エリザベス女王杯(GI),,17,4,7,1.9,1,5,ルメール,54,芝2200,,良,**,2:11.6,0.5,**,**,**,**,**,8-8-10-9,35.2-34.4,34.1,472(+4),,,スタニングローズ,"1,300.0",2021105898
2024/09/15,3中京4,曇,11,関西TVローズS(GII),,15,8,15,1.7,1,5,ルメール,55,芝2000,,稍,**,2:00.3,0.4,**,**,**,**,**,15-15-15-15,36.1-35.6,33.1,468(+10),,,クイーンズウォーク,520.0,2021105898
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,1,2,4.5,2,5,ルメール,55,芝2400,,良,**,2:25.0,0.7,**,**,**,**,**,10-11-14-13,36.3-33.8,33.2,458(+2),,,ダノンデサイル,"3,000.0",2021105898
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,5,10,3.7,1,6,北村宏司,55,芝2000,,良,**,1:57.6,0.5,**,**,**,**,**,14-15-14-13,34.2-35.8,33.9,456(+2),,,ジャスティンミラノ,,2021105898
2023/12/28,5中山9,晴,11,ホープフルS(GI),,16,7,13,3.1,1,1,ルメール,55,芝2000,,良,**,2:00.2,-0.1,**,**,**,**,**,14-14-11-10,35.4-35.9,35.0,454(-2),,,(シンエンペラー),"7,126.0",2021105898
2023/10/21,4東京6,晴,9,アイビーS(L),,6,3,3,1.5,1,3,ルメール,55,芝1800,,良,**,1:48.4,0.2,**,,,,,3-3-3,37.7-33.1,32.7,456(+4),,,ダノンエアズロック,431.9,2021105898
2023/07/09,2函館4,晴,5,2歳新馬,,9,6,6,1.4,1,1,ルメール,55,芝1800,,良,**,1:49.8,-0.2,**,,,,,5-6-6-5,37.5-34.9,34.3,452(0),,,(セットアップ),720.0,2021105898
