日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,2,4,56.1,9,12,丹内祐次,58,芝2200,,重,-15,2:14.5,2.4,82,,,,,7-7-10-11,35.4-35.6,36.8,498(-6),,,メイショウタバル,,2022106120
2026/03/28,3中山1,晴,11,日経賞(GII),,15,1,1,4.0,2,2,丹内祐次,56,芝2500,,良,**,2:30.9,0.2,**,**,**,**,**,5-5-5-6,29.4-36.0,35.7,504(-4),,,マイユニバース,"2,730.4",2022106120
2025/12/27,5中山7,曇,12,グレイトフルS(3勝クラス),,14,8,14,2.4,1,1,丹内祐次,56,芝2500,,良,**,2:35.5,-0.3,**,**,**,**,**,9-6-3-2,30.9-34.4,34.2,508(0),,,(アマキヒ),"1,870.8",2022106120
2025/12/07,5中山2,晴,7,3歳以上2勝クラス,,11,1,1,2.9,2,1,丹内祐次,56,芝2500,,良,**,2:30.5,-0.4,**,**,**,**,**,1-1-1-1,30.9-34.1,34.1,508(0),,,(フィーリウス),"1,140.0",2022106120
2025/09/13,4中山3,曇,12,3歳以上1勝クラス,,16,6,11,2.3,1,1,丹内祐次,55,芝2000,,稍,**,2:00.4,-0.1,**,**,**,**,**,6-6-4-3,35.6-34.0,33.6,508(+4),,,(ゲンジ),800.0,2022106120
2025/07/06,1函館8,曇,6,3歳未勝利,,12,4,4,1.6,1,1,丹内祐次,57,芝2000,,稍,**,2:02.6,-0.8,**,**,**,**,**,2-2-3-3,37.1-35.7,35.2,504(-4),,,(ハクサンミラクル),560.0,2022106120
2025/05/17,1新潟5,雨,3,3歳未勝利,,16,2,3,2.7,1,2,岩田望来,57,芝1800,,稍,**,1:48.9,0.2,**,**,**,**,**,7-7,36.1-35.4,35.1,508(0),,,シャンクス,220.0,2022106120
2025/03/15,2中山5,曇,5,3歳未勝利,,18,7,15,26.8,7,3,丹内祐次,57,芝2200,,良,**,2:14.3,0.5,**,**,**,**,**,5-2-2-1,35.8-34.7,35.2,508(-4),,,レッドバンデ,140.0,2022106120
2025/01/05,1中山1,晴,6,3歳新馬,,18,6,12,13.9,5,6,佐々木大,57,芝2000,,良,**,2:02.7,0.8,**,**,**,**,**,8-8-12-11,36.8-35.9,35.6,512(0),,,ノクターン,,2022106120
