race_id,waku,umaban,horse_name,horse_id,sex_age,kinryo,jockey,jockey_id,trainer,trainer_id,bataiju
202609030411,1,1,ダノンデサイル,2021105143,牡5,58.0,戸崎圭,result,安田,result,520(+4)
202609030411,1,2,ミュージアムマイル,2022105081,牡4,58.0,レーン,result,高柳大,result,504(+2)
202609030411,2,3,シュガークン,2021102224,牡5,58.0,吉村,result,清水久,result,522(+4)
202609030411,2,4,ミクニインスパイア,2022106120,牡4,58.0,丹内,result,林,result,498(-6)
202609030411,3,5,クロワデュノール,2022105102,牡4,58.0,北村友,result,斉藤崇,result,514(0)
202609030411,3,6,ビザンチンドリーム,2021105587,牡5,58.0,西村淳,result,坂口,result,466(前計不)
202609030411,4,7,ファミリータイム,2021100651,牡5,58.0,幸,result,石坂,result,482(0)
202609030411,4,8,タガノデュード,2021106548,牡5,58.0,高杉,result,宮,result,504(+2)
202609030411,5,9,コスモキュランダ,2021106787,牡5,58.0,横山武,result,加藤士,result,518(-2)
202609030411,5,10,ジューンテイク,2021100913,牡5,58.0,松山,result,武英,result,500(+2)
202609030411,6,11,シンエンペラー,2021110048,牡5,58.0,坂井,result,矢作,result,500(-8)
202609030411,6,12,マイネルエンペラー,2020105786,牡6,58.0,川田,result,清水久,result,486(-4)
202609030411,7,13,シェイクユアハート,2020103101,牡6,58.0,古川吉,result,宮,result,456(-6)
202609030411,7,14,スティンガーグラス,2021105829,牡5,58.0,岩田望,result,友道,result,480(-4)
202609030411,7,15,マイユニバース,2022104902,牡4,58.0,横山典,result,武幸,result,480(+12)
202609030411,8,16,メイショウタバル,2021103272,牡5,58.0,武豊,result,石橋,result,502(+2)
202609030411,8,17,レガレイラ,2021105898,牝5,56.0,ルメール,result,木村,result,484(+2)
202609030411,8,18,ミステリーウェイ,2018104638,セ8,58.0,松本,result,小林,result,498(-8)
