日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,6,12,121.0,13,10,川田将雅,58,芝2200,,重,-15,2:13.8,1.7,87,,,,,3-3-3-3,35.4-35.6,36.9,486(-4),,,メイショウタバル,,2020105786
2026/03/22,1阪神10,曇,11,阪神大賞典(GII),,10,7,7,7.2,4,5,丹内祐次,58,芝3000,,良,**,3:03.0,1.0,**,**,**,**,**,5-5-2-3,36.8-34.5,35.3,490(-4),,,アドマイヤテラ,670.0,2020105786
2026/01/25,1中山9,晴,11,アメリカジョッキーC(GII),,16,2,3,9.1,5,11,戸崎圭太,58,芝2200,,良,**,2:12.1,1.3,**,**,**,**,**,15-15-14-13,35.7-36.9,35.1,494(+4),,,ショウヘイ,,2020105786
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,6,12,111.5,11,9,丹内祐次,58,芝2500,,良,**,2:32.3,0.8,**,**,**,**,**,7-7-4-4,29.7-35.6,35.9,490(+2),,,ミュージアムマイル,,2020105786
2025/05/04,2京都4,晴,11,天皇賞(春)(GI),,15,6,11,19.7,8,5,丹内祐次,58,芝3200,,良,**,3:15.0,1.0,**,**,**,**,**,2-2-1-1,36.4-35.7,36.7,488(0),,,ヘデントール,"3,000.0",2020105786
2025/03/29,3中山1,曇,11,日経賞(GII),,15,5,8,7.4,2,1,丹内祐次,57,芝2500,,稍,**,2:36.1,0.0,**,**,**,**,**,3-3-3-2,31.1-37.2,37.0,488(+2),,,(チャックネイト),"6,814.8",2020105786
2025/01/19,1中京7,晴,11,日経新春杯(GII),,16,1,1,15.0,7,3,幸英明,55,芝2200,,良,**,2:10.4,0.6,**,**,**,**,**,5-5-4-4,34.5-37.4,36.3,486(+6),,,ロードデルレイ,"1,416.4",2020105786
2024/12/08,7京都4,小雨,9,オリオンS(3勝クラス),,12,6,7,4.0,2,1,デットー,58,芝2200,,良,**,2:13.8,0.0,**,**,**,**,**,2-2-2-2,37.5-33.7,33.5,480(+2),,,(シェイクユアハート),"1,866.6",2020105786
2024/11/17,6京都6,曇,9,比叡S(3勝クラス),,17,5,9,22.5,7,2,津村明秀,57,芝2400,,良,**,2:24.6,0.1,**,**,**,**,**,7-7-7-10,34.5-35.2,34.8,478(+2),,,ヴェローチェエラ,750.6,2020105786
2024/10/20,4東京6,晴,10,甲斐路S(3勝クラス),,8,2,2,15.4,5,2,松岡正海,58,芝2000,,良,**,2:00.8,0.3,**,**,**,**,**,3-3-3,37.4-33.9,33.8,476(+2),,,トーセンリョウ,745.6,2020105786
2024/09/28,3中京8,曇,10,高山S(3勝クラス),,13,4,4,7.7,4,3,シュタル,58,芝2000,,良,**,2:00.1,0.2,**,**,**,**,**,6-4-5-5,36.2-35.4,35.2,474(-14),,,マコトヴェリーキー,463.9,2020105786
2024/08/24,2札幌5,晴,11,オールスターJ第2戦(3勝クラス),,14,8,13,4.9,2,7,武豊,58,芝2000,,良,**,2:00.7,0.6,**,**,**,**,**,7-6-6-6,35.4-37.5,37.4,488(+6),,,シュバルツクーゲル,,2020105786
2024/07/27,1札幌3,曇,11,STV賞(3勝クラス),,14,1,1,4.6,2,6,横山武史,57,芝2000,,良,**,2:01.1,0.5,**,**,**,**,**,8-7-7-7,36.1-34.5,34.5,482(+2),,,フェアエールング,,2020105786
2024/07/07,1函館10,曇,11,五稜郭S(3勝クラス),,14,6,9,7.8,3,2,横山武史,58,芝1800,,稍,**,1:49.7,0.3,**,**,**,**,**,10-10-10-10,36.2-36.6,35.8,480(+10),,,キミノナハマリア,748.6,2020105786
2024/01/28,2京都2,曇,10,八坂S(3勝クラス),,12,3,3,18.2,8,4,坂井瑠星,57,芝2200,,良,**,2:13.1,0.4,**,**,**,**,**,3-3-3-8,36.4-35.9,36.1,470(-2),,,サスツルギ,280.0,2020105786
2024/01/08,1京都3,晴,10,寿S(3勝クラス),,12,8,12,9.0,5,8,松山弘平,57,芝2000,,良,**,2:01.1,0.8,**,**,**,**,**,6-6-7-7,35.4-35.5,35.7,472(0),,,デビットバローズ,,2020105786
2023/12/17,4中京6,晴,12,尾張特別(2勝クラス),,9,5,5,3.7,3,1,松岡正海,56,芝2200,,良,**,2:15.1,0.0,**,,,,,4-4-4-4,37.4-34.4,34.1,472(0),,,(メイショウゲキリン),"1,571.7",2020105786
2023/11/26,3京都8,晴,5,3歳以上1勝クラス,,14,3,3,2.9,1,1,横山武史,56,芝2000,,良,**,2:00.9,-0.1,**,,,,,5-5-4-4,36.7-34.9,34.5,472(+4),,,(ブリタニア),800.0,2020105786
2023/11/04,3京都1,晴,7,3歳以上1勝クラス,,11,7,8,4.0,2,4,吉田隼人,56,芝2200,,良,**,2:12.5,0.4,**,,,,,5-5-5-7,35.9-34.4,34.2,468(+4),,,ジューンアヲニヨシ,120.0,2020105786
2023/10/14,2京都4,曇,6,3歳以上1勝クラス,,10,2,2,3.2,2,2,岩田望来,55,芝2400,,良,**,2:25.2,0.4,**,,,,,4-4-4-4,35.3-33.9,33.9,464(+4),,,ケイアイサンデラ,320.0,2020105786
