日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,1,1,7.0,3,3,戸崎圭太,58,芝2200,,重,-15,2:12.6,0.5,96,,,,,11-12-12-9,35.4-35.6,35.0,520(+4),,,メイショウタバル,"7,554.0",2021105143
2026/04/05,2阪神4,晴,11,大阪杯(GI),,15,3,4,3.9,2,3,坂井瑠星,58,芝2000,,良,**,1:57.9,0.3,**,**,**,**,**,6-6-6-7,34.9-35.5,34.9,516(+2),,,クロワデュノール,"7,545.6",2021105143
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,5,9,3.8,2,3,戸崎圭太,58,芝2500,,良,**,2:31.6,0.1,**,**,**,**,**,9-9-8-7,29.7-35.6,35.0,514(+6),,,ミュージアムマイル,"13,050.4",2021105143
2025/11/30,5東京8,晴,12,ジャパンC(GI),,17,7,14,5.0,3,3,戸崎圭太,58,芝2400,,良,**,2:20.8,0.5,**,**,**,**,**,8-8-10-9,34.5-34.6,33.8,508(0),,,カランダガン,"13,054.0",2021105143
2025/08/20,ヨーク,晴,,英インターナショナル(GI),,6,,2,3.6,3,5,戸崎圭太,61,芝2050,,良,,,,,,,,,,,,計不,,,,,2021105143
2025/04/05,メイダン,,,ドバイシーマクラシッ(GI),,9,,6,5.7,4,1,戸崎圭太,57,芝2410,,良,,2:27.05,,,,,,,,,,計不,,,(),,2021105143
2025/01/26,1中山9,晴,11,アメリカジョッキーC(GII),,18,4,8,2.6,1,1,戸崎圭太,58,芝2200,,良,**,2:12.1,-0.1,**,**,**,**,**,7-7-7-5,36.5-36.6,36.0,516(-4),,,(マテンロウレオ),"6,328.8",2021105143
2024/12/22,5中山8,晴,11,有馬記念(GI),,15,1,1,4.0,2,3,横山典弘,56,芝2500,,良,**,2:32.0,0.2,**,**,**,**,**,1-1-1-1,31.4-35.2,35.4,520(-2),,,レガレイラ,"13,048.6",2021105143
2024/10/20,5京都6,晴,11,菊花賞(GI),,18,2,4,2.9,1,6,横山典弘,57,芝3000,,良,**,3:04.8,0.7,**,**,**,**,**,8-9-14-15,37.0-35.9,35.5,522(+18),,,アーバンシック,,2021105143
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,3,5,46.6,9,1,横山典弘,57,芝2400,,良,**,2:24.3,-0.4,**,**,**,**,**,4-3-6-4,36.3-33.8,33.5,504(-2),,,(ジャスティンミラノ),"32,886.8",2021105143
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,8,16,,,除,横山典弘,57,芝2000,,良,**,,,**,,,,,,34.2-35.8,,504(-2),,,ジャスティンミラノ,,2021105143
2024/01/14,1中山5,晴,11,京成杯(GIII),,14,8,14,11.5,5,1,横山典弘,57,芝2000,,良,**,2:00.5,-0.1,**,**,**,**,**,4-5-5-5,35.6-34.8,34.1,506(+4),,,(アーバンシック),"4,153.2",2021105143
2023/11/25,3京都7,晴,11,ラジオN杯京都2歳S(GIII),,14,3,4,43.0,11,4,横山典弘,56,芝2000,,良,**,1:59.9,0.1,**,**,**,**,**,11-10-9-10,35.0-35.9,35.2,502(-6),,,シンエンペラー,500.0,2021105143
2023/10/28,2京都8,晴,3,2歳未勝利,,10,6,6,11.3,5,1,横山典弘,56,芝1800,,良,**,1:47.9,-0.2,**,,,,,2-2,35.6-35.1,35.0,508(+4),,,(シルヴァリームーン),550.0,2021105143
2023/10/09,4東京3,雨,5,2歳新馬,,13,2,2,8.3,3,4,横山典弘,56,芝1600,,稍,**,1:37.7,0.8,**,,,,,10-10,36.5-34.3,34.1,504(0),,,ファビュラススター,110.0,2021105143
