日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,6,11,93.1,9,3,田口貫太,57,ダ1400,,良,-11,1:26.5,1.1,65,,,,,14-10,35.1-37.4,37.5,492(-2),,,モズジェネラル,150.0,2023110018
2026/04/05,3中山4,晴,3,3歳未勝利,,16,7,13,22.9,5,7,荻野極,57,ダ1800,,不,**,1:55.8,3.5,**,**,**,**,**,13-12-7-7,36.7-38.4,40.6,494(-2),,,ミスターキャンベラ,,2023110018
2026/03/22,1阪神10,晴,2,3歳未勝利,,13,8,13,51.2,8,8,田口貫太,57,ダ1800,,良,**,1:57.0,2.3,**,**,**,**,**,10-10-9-8,37.6-38.0,39.3,496(0),,,アーサーバローズ,,2023110018
