日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,1,2,7.1,4,9,レーン,58,芝2200,,重,-15,2:13.7,1.6,87,,,,,6-6-7-6,35.4-35.6,36.5,504(+2),,,メイショウタバル,,2022105081
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,2,4,3.8,3,1,Ｃ．デム,56,芝2500,,良,**,2:31.5,-0.1,**,**,**,**,**,11-11-11-11,29.7-35.6,34.6,502(+2),,,(コスモキュランダ),"50,352.8",2022105081
2025/11/02,4東京11,曇,11,天皇賞(秋)(GI),,14,6,9,7.4,3,2,Ｃ．デム,56,芝2000,,良,**,1:58.7,0.1,**,**,**,**,**,9-9-9,37.1-32.9,32.3,500(0),,,マスカレードボール,"12,085.2",2022105081
2025/09/15,4中山5,曇,11,朝日セントライト記念(GII),,12,5,6,2.6,1,1,戸崎圭太,57,芝2200,,良,**,2:10.8,-0.1,**,**,**,**,**,8-8-6-6,35.6-34.9,34.4,500(+4),,,(ヤマニンブークリエ),"5,484.0",2022105081
2025/06/01,2東京12,晴,11,東京優駿(GI),,18,4,7,5.7,2,6,レーン,57,芝2400,,良,**,2:24.4,0.7,**,**,**,**,**,11-11-11-10,35.7-34.8,34.1,496(-4),,,クロワデュノール,,2022105081
2025/04/20,3中山8,曇,11,皐月賞(GI),,18,6,11,10.6,3,1,モレイラ,57,芝2000,,良,**,1:57.0,-0.3,**,**,**,**,**,8-8-8-10,34.5-34.8,34.1,500(-2),,,(クロワデュノール),"22,794.4",2022105081
2025/03/09,2中山4,晴,11,報知弥生ディープ記念(GII),,14,7,11,2.9,1,4,幸英明,57,芝2000,,稍,**,2:01.5,0.2,**,**,**,**,**,9-9-9-4,35.9-37.2,36.5,502(+8),,,ファウストラーゼン,810.0,2022105081
2024/12/15,7京都6,晴,11,朝日フューチュリティ(GI),,16,2,4,3.7,2,2,Ｃ．デム,56,芝1600,,良,**,1:34.5,0.4,**,**,**,**,**,3-4,35.4-33.7,33.8,494(-2),,,アドマイヤズーム,"2,833.2",2022105081
2024/11/10,6京都4,晴,9,黄菊賞(1勝クラス),,8,2,2,1.9,1,1,Ｃ．デム,56,芝2000,,良,**,2:00.0,-0.5,**,**,**,**,**,6-6-6-3,36.9-34.1,33.7,496(0),,,(ヤマニンブークリエ),"1,090.3",2022105081
2024/10/05,5京都1,晴,3,2歳未勝利,,8,4,4,1.9,1,1,幸英明,56,芝1800,,良,**,1:46.8,-0.2,**,**,**,**,**,3-3,36.2-34.6,34.2,496(-4),,,(ショウナンカゼルタ),550.0,2022105081
2024/08/24,2中京5,晴,5,2歳新馬,,16,1,1,5.4,4,3,幸英明,55,芝1600,,良,**,1:35.5,0.4,**,**,**,**,**,15-12-10,36.4-34.5,34.1,500(0),,,ショウナンラフィネ,180.0,2022105081
