日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,8,16,3.9,2,1,武豊,58,芝2200,,重,-15,2:12.1,-0.1,99,,,,,2-2-2-2,35.4-35.6,35.3,502(+2),,,(クロワデュノール),"30,378.0",2021103272
2026/04/05,2阪神4,晴,11,大阪杯(GI),,15,4,6,4.8,3,2,武豊,58,芝2000,,良,**,1:57.7,0.1,**,**,**,**,**,1-1-1-1,34.9-35.5,35.6,500(-12),,,クロワデュノール,"12,091.2",2021103272
2025/12/28,5中山8,晴,11,有馬記念(GI),,16,3,6,5.8,4,13,武豊,58,芝2500,,良,**,2:32.6,1.1,**,**,**,**,**,2-2-1-1,29.7-35.6,36.7,512(+4),,,ミュージアムマイル,,2021103272
2025/11/02,4東京11,曇,11,天皇賞(秋)(GI),,14,8,13,8.6,5,6,武豊,58,芝2000,,良,**,1:58.8,0.2,**,**,**,**,**,1-1-1,37.1-32.9,33.1,508(+4),,,マスカレードボール,,2021103272
2025/06/15,3阪神4,晴,11,宝塚記念(GI),,17,6,12,11.4,7,1,武豊,58,芝2200,,稍,**,2:11.1,-0.5,**,**,**,**,**,1-1-1-1,34.8-36.0,36.0,504(0),,,(ベラジオオペラ),"30,361.2",2021103272
2025/04/05,メイダン,,,ドバイターフ(GI),,11,,6,19.0,5,5,武豊,57,芝1800,,良,,,,,,,,,,,,計不,,,,,2021103272
2025/01/19,1中京7,晴,11,日経新春杯(GII),,16,3,6,5.3,2,11,浜中俊,57.5,芝2200,,良,**,2:11.9,2.1,**,**,**,**,**,1-1-1-1,34.5-37.4,39.5,510(+8),,,ロードデルレイ,,2021103272
2024/10/20,5京都6,晴,11,菊花賞(GI),,18,5,10,9.6,5,16,浜中俊,57,芝3000,,良,**,3:09.3,5.2,**,**,**,**,**,2-2-2-10,37.0-35.9,40.7,502(+6),,,アーバンシック,,2021103272
2024/09/22,3中京7,曇,11,神戸新聞杯(GII),,14,8,15,5.4,2,1,浜中俊,57,芝2200,,稍,**,2:11.8,-0.1,**,**,**,**,**,1-1-1-1,35.4-36.0,36.0,496(-4),,,(ジューンテイク),"5,506.4",2021103272
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,8,16,,,取,浜中俊,57,芝2400,,良,**,,,**,,,,,,36.3-33.8,,計不,,,ダノンデサイル,,2021103272
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,1,2,7.0,4,17,浜中俊,57,芝2000,,良,**,1:59.3,2.2,**,**,**,**,**,1-1-1-1,34.2-35.8,38.0,500(0),,,ジャスティンミラノ,,2021103272
2024/03/23,2阪神1,曇,11,毎日杯(GIII),,10,4,4,9.4,5,1,坂井瑠星,57,芝1800,,重,**,1:46.0,-1.0,**,**,**,**,**,1-1,35.2-34.4,34.4,500(0),,,(ノーブルロジャー),"4,135.7",2021103272
2024/02/17,2京都7,晴,9,つばき賞(1勝クラス),,9,5,5,6.1,3,1,浜中俊,57,芝1800,,良,**,1:46.9,0.0,**,**,**,**,**,3-1,36.3-34.0,34.0,500(-2),,,(キープカルム),"1,091.0",2021103272
2024/01/20,1京都6,曇,9,若駒S(L),,7,4,4,,,除,浜中俊,57,芝2000,,重,**,,,**,,,,,,36.0-36.6,,490(-12),,,サンライズジパング,,2021103272
2023/12/24,5阪神8,晴,3,2歳未勝利,,14,5,7,3.3,1,1,浜中俊,56,芝2000,,良,**,2:00.6,-0.2,**,,,,,6-7-8-6,36.0-35.3,34.7,502(-2),,,(クルミナーレ),550.0,2021103272
2023/10/28,2京都8,晴,3,2歳未勝利,,10,7,7,3.9,2,5,角田大河,55,芝1800,,良,**,1:48.3,0.4,**,,,,,5-5,35.6-35.1,35.1,504(+2),,,ダノンデサイル,55.0,2021103272
2023/10/09,2京都3,曇,5,2歳新馬,,10,5,5,5.3,3,4,角田大河,55,芝2000,,重,**,2:05.9,0.4,**,,,,,8-8-8-9,38.1-34.4,34.2,502(0),,,オールナット,110.0,2021103272
