日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,3,6,27.7,6,10,藤懸貴志,57,ダ1400,,良,-11,1:28.2,2.8,45,,,,,15-15,35.1-37.4,38.7,514(+2),,,モズジェネラル,,2023100945
2026/05/16,3京都7,晴,2,3歳未勝利,,11,3,3,48.6,8,5,藤懸貴志,57,ダ1800,,良,**,1:54.7,1.3,**,**,**,**,**,3-3-5-5,37.2-37.2,38.1,512(0),,,ゴールドコット,59.0,2023100945
2026/04/25,3京都1,晴,1,3歳未勝利,,16,4,7,181.9,11,5,藤懸貴志,57,ダ1800,,稍,**,1:55.2,1.2,**,**,**,**,**,11-11-10-10,35.6-40.5,39.7,512(+6),,,バケラッタ,59.0,2023100945
2026/01/04,1京都1,晴,2,3歳未勝利,,16,2,3,57.4,10,10,藤懸貴志,57,ダ1800,,良,**,1:56.4,2.9,**,**,**,**,**,16-16-16-13,36.0-38.0,38.4,506(-14),,,タガノエルー,,2023100945
2025/11/09,4京都2,雨,4,2歳新馬,,16,4,8,30.6,9,11,浜中俊,56,ダ1400,,稍,**,1:26.6,1.7,**,**,**,**,**,11-11,35.8-36.9,37.1,520(0),,,ヒルノプーリア,,2023100945
