日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,7,13,2.4,1,2,横山典弘,55,ダ1400,,良,-11,1:26.3,0.9,68,,,,,3-2,35.1-37.4,38.1,444(0),,,モズジェネラル,230.0,2023104326
2026/05/30,3京都11,晴,1,3歳未勝利,,16,2,3,2.8,2,2,横山典弘,55,ダ1400,,良,**,1:25.5,0.5,**,**,**,**,**,4-3,35.5-37.2,37.3,444(-2),,,ニホンピロローカス,240.0,2023104326
2026/04/05,2阪神4,晴,1,3歳未勝利,,15,5,8,3.8,1,4,川端海翼,52,ダ1400,,重,**,1:24.5,0.4,**,**,**,**,**,10-11,34.4-37.2,36.7,446(-2),,,ジーティーアリア,89.0,2023104326
2026/03/14,1阪神7,晴,2,3歳未勝利,,16,2,3,54.8,9,2,川端海翼,52,ダ1400,,良,**,1:25.5,0.0,**,**,**,**,**,2-2,35.0-38.2,38.1,448(0),,,ジューンアゲイン,240.0,2023104326
