日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,3,6,29.6,7,15,西村淳也,58,芝2200,,重,-15,2:15.1,3.0,78,,,,,16-16-12-11,35.4-35.6,37.1,466(0),,,メイショウタバル,,2021105587
2026/02/14,カタール,,,アミールT(GII),,7,,1,,,7,Ｃ．デム,58,芝2400,,良,,,,,,,,,,,,計不,,,,,2021105587
2025/10/05,パリロンシャン,,5,凱旋門賞(GI),,17,,6,8.1,4,5,マーフィ,59.5,芝2400,,重,,,,,,,,,,,,計不,,,,,2021105587
2025/09/07,パリロンシャン,,,フォワ賞(GII),,9,,9,,6,1,マーフィ,58.5,芝2400,,稍,,2:28.32,,,,,,,,,,計不,,,(),,2021105587
2025/05/04,2京都4,晴,11,天皇賞(春)(GI),,15,8,14,11.6,6,2,シュタル,58,芝3200,,良,**,3:14.0,0.0,**,**,**,**,**,14-14-12-8,36.4-35.7,34.9,454(0),,,ヘデントール,"12,090.0",2021105587
2025/02/23,キングアブドゥル,晴,,レッドシーターフH(GII),,11,,5,,7,1,マーフィ,60,芝3000,,良,,3:06.63,,,,,,,,,,計不,,,(),,2021105587
2025/01/26,1中山9,晴,11,アメリカジョッキーC(GII),,18,5,10,17.4,5,6,ルメート,56,芝2200,,良,**,2:12.8,0.7,**,**,**,**,**,16-15-10-10,36.5-36.6,36.5,460(+4),,,ダノンデサイル,,2021105587
2024/10/20,5京都6,晴,11,菊花賞(GI),,18,4,7,41.5,9,5,シュタル,57,芝3000,,良,**,3:04.6,0.5,**,**,**,**,**,12-15-14-10,37.0-35.9,35.4,456(-2),,,アーバンシック,"2,000.0",2021105587
2024/09/22,3中京7,曇,11,神戸新聞杯(GII),,14,8,14,17.9,9,6,幸英明,57,芝2200,,稍,**,2:12.9,1.1,**,**,**,**,**,12-11-12-13,35.4-36.0,35.4,458(0),,,メイショウタバル,,2021105587
2024/05/26,2東京12,晴,11,東京優駿(GI),,17,2,4,61.2,10,17,西村淳也,57,芝2400,,良,**,2:25.8,1.5,**,**,**,**,**,12-13-16-16,36.3-33.8,33.7,458(+2),,,ダノンデサイル,,2021105587
2024/04/14,3中山8,晴,11,皐月賞(GI),,17,8,17,16.4,8,13,ムルザバ,57,芝2000,,良,**,1:58.5,1.4,**,**,**,**,**,16-16-16-15,34.2-35.8,34.7,456(+6),,,ジャスティンミラノ,,2021105587
2024/02/04,2京都4,晴,11,きさらぎ賞(GIII),,12,8,12,2.3,1,1,ピーヒュ,57,芝1800,,良,**,1:46.8,0.0,**,**,**,**,**,11-9,35.6-34.4,33.7,450(-8),,,(ウォーターリヒト),"4,142.0",2021105587
2023/12/02,5阪神1,晴,5,2歳新馬,,12,5,5,4.4,2,1,ムルザバ,56,芝2000,,良,**,2:01.4,-0.5,**,,,,,10-9-8-8,36.7-34.5,33.9,458(0),,,(エイシンボナパルト),720.0,2021105587
