日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,曇,2,3歳未勝利,,16,1,1,98.9,11,11,松若風馬,57,ダ1400,,良,-11,1:28.3,2.9,44,,,,,9-8,35.1-37.4,39.7,514(0),,,モズジェネラル,,2023104586
2026/03/28,2阪神1,晴,3,3歳未勝利,,16,6,11,171.0,11,10,高倉稜,57,ダ1200,,稍,**,1:14.1,1.6,**,**,**,**,**,12-12,34.6-37.9,37.4,514(+2),,,レッドレベンディス,,2023104586
2026/03/22,1中京4,晴,2,3歳未勝利,,16,3,6,51.6,10,7,幸英明,57,ダ1400,,良,**,1:27.2,2.1,**,**,**,**,**,11-11,34.3-38.3,39.0,512(+10),,,スタームーンナイト,,2023104586
2026/01/17,1京都6,晴,3,3歳未勝利,,13,7,11,10.3,5,13,松山弘平,57,ダ1900,,良,**,2:07.5,5.4,**,**,**,**,**,2-2-5-7,30.4-38.6,43.0,502(-2),,,テスタヴェローチェ,,2023104586
2026/01/04,1京都1,晴,4,3歳新馬,,12,3,3,63.3,9,6,和田竜二,57,ダ1800,,良,**,1:56.8,1.6,**,**,**,**,**,5-5-8-8,36.4-39.6,39.1,504(0),,,ペイシャプル,,2023104586
